2026-04-08 17:30:00.026 [scheduling-1] INFO  cheese-im-postman - 推送统计: totalPush=0, successPush=0, failedPush=0, successRate=0.00%
2026-04-08 17:30:00.028 [scheduling-1] INFO  cheese-im-postman - 实时统计: currentHourPush=0, currentMinutePush=0, currentSecondPush=0, currentSuccessRate=0.00%
2026-04-08 17:55:11.669 [main] INFO  cheese-im-postman - APNs推送服务已禁用
2026-04-08 17:55:11.670 [main] INFO  cheese-im-postman - FCM推送服务已禁用
2026-04-08 17:55:11.671 [main] INFO  cheese-im-postman - 极光推送服务已禁用
2026-04-08 17:55:11.679 [main] INFO  cheese-im-postman - 华为推送服务已禁用
2026-04-08 17:55:11.680 [main] INFO  cheese-im-postman - 小米推送服务已禁用
2026-04-08 17:55:12.844 [scheduling-1] INFO  cheese-im-postman - 开始清理过期设备Token
2026-04-08 17:55:13.044 [scheduling-1] INFO  cheese-im-postman - 过期设备Token清理完成: cleanedCount=0
2026-04-08 17:55:13.044 [scheduling-1] INFO  cheese-im-postman - 过期设备Token清理完成: cleanedCount=0, duration=200ms
2026-04-08 18:00:00.016 [scheduling-1] INFO  cheese-im-postman - 设备Token统计: totalTokens=0, activeTokens=0, expiredTokens=0, platformDistribution={}
2026-04-08 18:30:00.017 [scheduling-1] INFO  cheese-im-postman - 推送统计: totalPush=0, successPush=0, failedPush=0, successRate=0.00%
2026-04-08 18:30:00.018 [scheduling-1] INFO  cheese-im-postman - 实时统计: currentHourPush=0, currentMinutePush=0, currentSecondPush=0, currentSuccessRate=0.00%
2026-04-08 18:34:27.946 [main] INFO  cheese-im-postman - APNs推送服务已禁用
2026-04-08 18:34:27.947 [main] INFO  cheese-im-postman - FCM推送服务已禁用
2026-04-08 18:34:27.948 [main] INFO  cheese-im-postman - 极光推送服务已禁用
2026-04-08 18:34:27.955 [main] INFO  cheese-im-postman - 华为推送服务已禁用
2026-04-08 18:34:27.956 [main] INFO  cheese-im-postman - 小米推送服务已禁用
2026-04-08 18:34:29.010 [scheduling-1] INFO  cheese-im-postman - 开始清理过期设备Token
2026-04-08 18:34:29.208 [scheduling-1] INFO  cheese-im-postman - 过期设备Token清理完成: cleanedCount=0
2026-04-08 18:34:29.208 [scheduling-1] INFO  cheese-im-postman - 过期设备Token清理完成: cleanedCount=0, duration=198ms
